seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 5}",0.712,6.100579099962488,0.014013600070029497,0.6970954356846473,0.8795811518324608,0.7777777777777778,0.7509025270758123,0.48711943793911006,0.5909090909090909
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 7}",0.715,8.761530700023286,0.014828899991698563,0.7011173184357542,0.8760907504363001,0.7788983708301008,0.75,0.49882903981264637,0.5991561181434599
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 3}",0.717,5.231836499995552,0.014069700031541288,0.6948924731182796,0.9022687609075044,0.7851176917236142,0.78125,0.468384074941452,0.5856515373352855
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 5}",0.714,9.019071700051427,0.014959099935367703,0.6990291262135923,0.8795811518324608,0.7789799072642968,0.7526881720430108,0.4918032786885246,0.5949008498583569
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 7}",0.714,12.885584700037725,0.01538510003592819,0.7058823529411765,0.8586387434554974,0.7748031496062993,0.7326732673267327,0.5199063231850117,0.6082191780821918
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 3}",0.713,7.046468599932268,0.01521300000604242,0.6942934782608695,0.8917975567190227,0.7807486631016043,0.7651515151515151,0.47306791569086654,0.5846599131693199
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 5}",0.714,12.052047399920411,0.01562349998857826,0.700139470013947,0.8760907504363001,0.7782945736434108,0.7491166077738516,0.4964871194379391,0.5971830985915493
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 7}",0.715,16.991554499953054,0.016253500012680888,0.7086956521739131,0.8534031413612565,0.7743467933491687,0.7290322580645161,0.5292740046838408,0.6132971506105834
5522499,TfidfVectorizer,AdaBoost,{'n_estimators': 50},0.702,0.8534096999792382,0.020805299980565906,0.697274031563845,0.8481675392670157,0.7653543307086614,0.7128712871287128,0.5058548009367682,0.5917808219178082
5522499,TfidfVectorizer,AdaBoost,{'n_estimators': 100},0.71,1.648397299926728,0.032228600000962615,0.7187017001545595,0.8115183246073299,0.7622950819672131,0.6940509915014165,0.5737704918032787,0.6282051282051282
5522499,TfidfVectorizer,AdaBoost,{'n_estimators': 150},0.71,2.4022441999986768,0.03859450004529208,0.7193798449612403,0.8097731239092496,0.7619047619047619,0.6929577464788732,0.5761124121779859,0.629156010230179
5522499,TfidfVectorizer,SGD,{'alpha': 0.0001},0.705,0.09863969997968525,0.012466399930417538,0.7293729372937293,0.7713787085514834,0.7497879558948262,0.6675126903553299,0.6159250585480094,0.6406820950060901
5522499,TfidfVectorizer,SGD,{'alpha': 0.001},0.691,0.08988250000402331,0.013942999998107553,0.6662468513853904,0.9232111692844677,0.7739575713240673,0.7864077669902912,0.3793911007025761,0.5118483412322274
5522499,CountVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.61,0.31758969998918474,0.018734399927780032,0.5962145110410094,0.9895287958115183,0.7440944881889764,0.8775510204081632,0.10070257611241218,0.18067226890756302
5522499,CountVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.68,0.6836823000339791,0.022313400055281818,0.6507747318235996,0.9528795811518325,0.773371104815864,0.8322981366459627,0.31381733021077285,0.4557823129251701
5522499,CountVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 10}",0.608,0.44772059994284064,0.021802900009788573,0.5949632738719832,0.9895287958115183,0.7431192660550459,0.8723404255319149,0.09601873536299765,0.1729957805907173
5522499,CountVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 20}",0.683,0.9334588999627158,0.029055899940431118,0.6513002364066194,0.9616055846422339,0.7766032417195208,0.8571428571428571,0.3091334894613583,0.45438898450946646
5522499,CountVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.607,0.5438035000115633,0.025785200065001845,0.5943396226415094,0.9895287958115183,0.7426326129666012,0.8695652173913043,0.0936768149882904,0.16913319238900634
5522499,CountVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.685,1.2309794999891892,0.029253900051116943,0.6532066508313539,0.9598603839441536,0.7773851590106007,0.8544303797468354,0.3161592505854801,0.46153846153846156
