seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4
2,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.9498680738786279,1.2786748000071384,1.0445056999888038,401.29296875,398.859375,0.9560439560439561,1.0,0.9775280898876404,0.9827586206896551,0.8636363636363636,0.9193548387096774,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9354838709677419,1.0,0.9666666666666667,0.953125,0.8970588235294118,0.9242424242424242
2,TfidfVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.8759894459102903,0.7459256000001915,1.0375353999988874,423.87109375,396.30859375,0.8055555555555556,1.0,0.8923076923076924,0.9791666666666666,0.7121212121212122,0.8245614035087719,0.9666666666666667,0.8169014084507042,0.8854961832061069,0.7981651376146789,1.0,0.8877551020408163,0.9814814814814815,0.7794117647058824,0.8688524590163934
2,TfidfVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.9683377308707124,0.9785750000010012,1.039272499998333,437.34765625,396.3203125,0.9555555555555556,0.9885057471264368,0.9717514124293786,0.9705882352941176,1.0,0.9850746268656716,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9456521739130435,1.0,0.9720670391061452,1.0,0.8823529411764706,0.9375
2,TfidfVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.9736147757255936,1.1256186999962665,1.046950600008131,438.4921875,396.234375,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9705882352941176,1.0,0.9850746268656716,0.9714285714285714,0.9577464788732394,0.9645390070921985,0.9775280898876404,1.0,0.9886363636363636,0.9846153846153847,0.9411764705882353,0.9624060150375939
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.9182058047493403,1.276418100009323,1.1055532000027597,406.8359375,409.85546875,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.9375,0.9090909090909091,0.9230769230769231,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9555555555555556,0.9885057471264368,0.9717514124293786,0.8939393939393939,0.8676470588235294,0.8805970149253731
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.9182058047493403,1.253805000000284,1.0904029999946943,406.625,405.85546875,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.9375,0.9090909090909091,0.9230769230769231,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9555555555555556,0.9885057471264368,0.9717514124293786,0.8939393939393939,0.8676470588235294,0.8805970149253731
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.9182058047493403,1.2676809999975376,1.0899759000021731,408.26171875,407.9375,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.9375,0.9090909090909091,0.9230769230769231,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9555555555555556,0.9885057471264368,0.9717514124293786,0.8939393939393939,0.8676470588235294,0.8805970149253731
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.9234828496042217,1.2648372999974526,1.090524600003846,406.7109375,410.3515625,0.9294117647058824,0.9080459770114943,0.9186046511627907,0.9193548387096774,0.8636363636363636,0.890625,0.8846153846153846,0.971830985915493,0.9261744966442953,0.9659090909090909,0.9770114942528736,0.9714285714285714,0.9090909090909091,0.8823529411764706,0.8955223880597015
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.9234828496042217,1.2547975000052247,1.0865212000062456,406.61328125,404.98828125,0.9294117647058824,0.9080459770114943,0.9186046511627907,0.9193548387096774,0.8636363636363636,0.890625,0.8846153846153846,0.971830985915493,0.9261744966442953,0.9659090909090909,0.9770114942528736,0.9714285714285714,0.9090909090909091,0.8823529411764706,0.8955223880597015
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.9234828496042217,1.2601058000000194,1.0929090999998152,406.73828125,408.7578125,0.9294117647058824,0.9080459770114943,0.9186046511627907,0.9193548387096774,0.8636363636363636,0.890625,0.8846153846153846,0.971830985915493,0.9261744966442953,0.9659090909090909,0.9770114942528736,0.9714285714285714,0.9090909090909091,0.8823529411764706,0.8955223880597015
