seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.656,1.3141050001140684,1.8053023999091238,447.296875,441.61328125,0.7085610200364298,0.6788830715532286,0.6934046345811051,0.5920177383592018,0.6252927400468384,0.6082004555808656
5,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.65,1.325876799877733,1.8113313999492675,447.4609375,442.0703125,0.684297520661157,0.7225130890052356,0.7028862478777589,0.5974683544303797,0.5526932084309133,0.5742092457420924
5,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.668,1.7893432001583278,1.8023874000646174,446.8359375,441.14453125,0.7066895368782161,0.7190226876090751,0.71280276816609,0.6139088729016786,0.5995316159250585,0.6066350710900474
5,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.634,1.3171558999456465,1.8088691998273134,447.38671875,441.69140625,0.681260945709282,0.6788830715532286,0.6800699300699301,0.5710955710955711,0.5737704918032787,0.572429906542056
5,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'log2'}",0.594,1.2788796001113951,1.8103090999647975,447.47265625,441.9375,0.6290571870170015,0.7102966841186736,0.6672131147540984,0.5297450424929179,0.4379391100702576,0.4794871794871795
5,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': None}",0.638,1.6780262000393122,1.8040078999474645,446.73828125,441.10546875,0.6950092421441775,0.6561954624781849,0.6750448833034112,0.5708061002178649,0.6135831381733021,0.5914221218961625
5,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'sqrt'}",0.634,1.3268148000352085,1.795216399943456,447.34765625,441.765625,0.681260945709282,0.6788830715532286,0.6800699300699301,0.5710955710955711,0.5737704918032787,0.572429906542056
5,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'log2'}",0.594,1.2712635998614132,1.8172181998379529,447.58203125,441.92578125,0.6290571870170015,0.7102966841186736,0.6672131147540984,0.5297450424929179,0.4379391100702576,0.4794871794871795
5,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': None}",0.638,1.6881474000401795,1.811797099886462,446.6953125,441.16796875,0.6950092421441775,0.6561954624781849,0.6750448833034112,0.5708061002178649,0.6135831381733021,0.5914221218961625
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'friedman_mse'}",0.711,3.900683600222692,1.8114366000518203,447.19921875,442.03515625,0.6868421052631579,0.9109947643979057,0.7831957989497375,0.7875,0.4426229508196721,0.5667166416791605
