seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_democratic,recall_class_democratic,f1_class_democratic,precision_class_republican,recall_class_republican,f1_class_republican
3,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.92225,1.0335471997968853,0.9957109000533819,858.38671875,829.1875,0.9391575663026521,0.903,0.9207239357634464,0.9065960519980741,0.9415,0.9237184204071621
3,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l2'}",0.8805,0.9200794999487698,0.9642984997481108,857.984375,857.9765625,0.9487028301886793,0.8045,0.8706709956709957,0.8302951388888888,0.9565,0.8889405204460966
3,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l1'}",0.5,0.9248335999436677,1.4344983999617398,858.23828125,829.31640625,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
3,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'elasticnet'}",0.7745,0.940440199803561,0.9739518999122083,858.0546875,858.05078125,0.7171677215189873,0.9065,0.8007950530035336,0.8729619565217391,0.6425,0.7402073732718893
3,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.94225,55.41051730001345,1.1913992995396256,858.23828125,633.21484375,0.9647924330005255,0.918,0.940814757878555,0.921793037672866,0.9665,0.9436172809372712
3,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.94275,51.061203399673104,1.1995946001261473,645.41796875,624.13671875,0.9580962234868081,0.926,0.9417747266717519,0.9283986453797775,0.9595,0.943693139906565
3,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.94275,50.942511700093746,1.2090821000747383,634.140625,624.09765625,0.9580962234868081,0.926,0.9417747266717519,0.9283986453797775,0.9595,0.943693139906565
3,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.94375,109.61054829973727,0.7170669999904931,781.80078125,779.87109375,0.9658792650918635,0.92,0.942381562099872,0.9236276849642004,0.9675,0.945054945054945
3,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.94725,100.59464829973876,0.722165200393647,788.1875,767.44140625,0.9646753246753247,0.9285,0.9462420382165605,0.9310843373493976,0.966,0.9482208588957055
3,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.94725,100.67105109989643,0.7179891001433134,773.9375,766.57421875,0.9646753246753247,0.9285,0.9462420382165605,0.9310843373493976,0.966,0.9482208588957055
3,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.9445,163.26545439986512,0.829834199976176,927.37109375,903.97265625,0.9674027339642481,0.92,0.9431060994361866,0.9237368922783603,0.969,0.9458272327964861
3,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.948,149.86359110008925,0.8252151003107429,937.02734375,900.36328125,0.9652128764278297,0.9295,0.9470198675496688,0.9320154291224687,0.9665,0.9489445262641139
3,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.948,149.85031710006297,0.8372657997533679,908.234375,872.171875,0.9652128764278297,0.9295,0.9470198675496688,0.9320154291224687,0.9665,0.9489445262641139
3,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.95725,109.24877860024571,2.4408388999290764,1178.3359375,909.55859375,0.9721218378936499,0.9415,0.9565659131318263,0.9432864760058167,0.973,0.9579128722618755
3,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.92225,214.72039330005646,9.310111400205642,1143.734375,920.3671875,0.89891355692017,0.9515,0.9244595579305319,0.9484864577801381,0.893,0.9199072881792428
